NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
HEMITARTARATO DE ZOLPIDEM;HEMITARTARATO DE ZOLPIDEM;HIPNOTICOS;MCG INDUSTRIA FARMACEUTICA E IMPORTACAO LTDA
NEOSORO NEBULIZADOR;;;HYPERA S.A.
BRONXOL;CLORIDRATO DE AMBROXOL;EXPECTORANTES;CIFARMA CIENTIFICA FARMACEUTICA LTDA
CLORIDRATO DE MOXIFLOXACINO + FOSFATO DISSODICO DE DEXAMETASONA;CLORIDRATO DE MOXIFLOXACINO, FOSFATO DISSODICO DE DEXAMETASONA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;EMS S/A
COLPOTROFINE;PROMESTRIENO;ESTROGENOS SIMPLES;THERAMEX FARMACEUTICA LTDA.
MYLLCIS;CISPLATINA;ANTINEOPLASICO;VIATRIS FARMACEUTICA DO BRASIL LTDA
OMEGAVEN;OLEO DE PEIXE;NUTRIENTES PARENTERAIS;FRESENIUS KABI BRASIL LTDA
DIPIRONA MONOIDRATADA;DIPIRONA;ANALGESICOS NAO NARCOTICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ETODOLACO;ETODOLACO;ANTINFLAMATORIOS ANTIREUMATICOS;EUROFARMA LABORATORIOS S.A.
REMOVEX;;;RIOQUIMICA S.A.
CIMETIDINA;CIMETIDINA;ANTIULCEROSOS;LABORATORIO TEUTO BRASILEIRO S/A
LEVAQUIN;LEVOFLOXACINO HEMIIDRATADO, levofloxacino hemi-hidratado;ANTIBIOTICOS SISTEMICOS SIMPLES;JANSSEN-CILAG FARMACEUTICA LTDA
BISSULFATO DE CLOPIDOGREL;BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR;LABORATORIO TEUTO BRASILEIRO S/A
CERUMIN;HIDROXIQUINOLINA, TROLAMINA;REMOVEDORES DE SECRECAO DO CONDUTO AUDITIVO EXTERNO;NOVARTIS BIOCIENCIAS S.A
ISOFLURANO;ISOFLURANO;ANESTESICOS GERAIS VOLATEIS E GASOSOS;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
OLEO MINERAL;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
WENO DH;DIOSMINA, HESPERIDINA;ANTIVARICOSOS DE ACAO SISTEMICA;PHARLAB INDUSTRIA FARMACEUTICA S.A.
AXETILCEFUROXIMA;AXETILCEFUROXIMA;CEFALOSPORINAS;LABORATORIO TEUTO BRASILEIRO S/A
CLORIDRATO DE MOXIFLOXACINO;CLORIDRATO DE MOXIFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;EUROFARMA LABORATORIOS S.A.
DECONLERG;DESLORATADINA;ANTI-HISTAMINICOS SISTEMICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
GLYPRESSIN;ACETATO DE TERLIPRESSINA;OUTROS PRODUTOS ANTI-HEMORRAGICOS;LABORATORIOS FERRING LTDA
VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIO;VALERATO DE BETAMETASONA, SULFATO DE GENTAMICINA, TOLNAFTATO, CLIOQUINOL;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;GEOLAB INDUSTRIA FARMACEUTICA S/A
LIMONADA PURGATIVA AMAZONAS;;;AMAZONAS COMERCIO E INDUSTRIA DE PRODUTOS QUIMICOS LTDA
NOCTIDEN;HEMITARTARATO DE ZOLPIDEM;HIPNOTICOS;BIOLAB SANUS FARMACEUTICA LTDA
AMONIA DILUIDA RIOQUIMICA;;;RIOQUIMICA S.A.
BILASTINA;BILASTINA;ANTI-HISTAMINICOS SISTEMICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
LORDOZY;ETORICOXIBE;ANTINFLAMATORIOS ANTIREUMATICOS;ZYDUS NIKKHO FARMACEUTICA LTDA
NISTATINA;NISTATINA;ANTIMICOTICO;NATULAB LABORATORIO S.A
AGUA PARA INJECAO;AGUA PARA INJETAVEIS, AGUA PARA INJECAO;DILUENTES E VEICULOS DE MEDICAMENTOS;JP INDUSTRIA FARMACEUTICA S/A
