NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
ESTOLATO DE ERITROMICINA;ESTOLATO DE ERITROMICINA;ANTIBIOTICOS SISTEMICOS SIMPLES;PRATI DONADUZZI & CIA LTDA
LAXSAN;;;LABORATORIO MERCOFARMA LTDA
SALSEP JET KIDS;;;LIBBS FARMACEUTICA LTDA
BUTILBROMETO DE ESCOPOLAMINA;BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS;PRATI DONADUZZI & CIA LTDA
VALERIANE;VALERIANA OFFICINALIS L.;;ZYDUS NIKKHO FARMACEUTICA LTDA
ESPASMOPAN COMPOSTO;BUTILBROMETO DE ESCOPOLAMINA, dipirona monoidratada;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC MEDICAMENTOSAS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
FARLAC;LACTULOSE;LAXANTES;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
LECZA XR;LEVETIRACETAM;ANTICONVULSIVANTES;APSEN FARMACEUTICA S/A
TADALAFILA;TADALAFILA;VASODILATADORES;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
FURP-SAIS PARA REIDRATACAO ORAL;;;FUNDACAO PARA O REMEDIO POPULAR - FURP
LATANOPROSTA;LATANOPROSTA;PROSTAGLANDINAS;GEOLAB INDUSTRIA FARMACEUTICA S/A
LAIO;hemiFUMARATO DE BISOPROLOL;BETABLOQUEADORES SIMPLES;FARMOQUIMICA S/A
SUGAMADEX SODICO;SUGAMADEX SODICO;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;SUN FARMACEUTICA DO BRASIL LTDA
DEFULL;COLECALCIFEROL;VITAMINA D E ANALOGOS;BRASTERAPICA PHARMACEUTICA LTDA.
IBUPROFENO;IBUPROFENO;ANTINFLAMATORIOS ANTIREUMATICOS;CIMED INDUSTRIA S.A
NEEDS;;;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
PELGRAZ;PEGFILGRASTIM;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE;ACCORD FARMACEUTICA LTDA
PERMANGANATO DE POTASSIO PE;;;FARMAX S.A.
TIAG;ticagrelor;ANTIAGREGANTE PLAQUETARIO;TORRENT DO BRASIL LTDA
UNITIDAZIN;CLORIDRATO DE TIORIDAZINA;NEUROLEPTICOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
VICOG;VIMPOCETINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;MARJAN INDUSTRIA E COMERCIO LTDA
DIETILCARBAMAZINA CITRATO;CITRATO DE DIETILCARBAMAZINA;ANTIPARASITARIOS;FUNDACAO OSWALDO CRUZ
LORATADINA + SULFATO DE PSEUDOEFEDRINA;LORATADINA, SULFATO DE PSEUDOEFEDRINA;ANTI-HISTAMINICOS SISTEMICOS;1FARMA INDUSTRIA FARMACEUTICA LTDA
ACIDO ACETILSALICILICO;ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO;ANALGESICOS NAO NARCOTICOS;CIMED INDUSTRIA S.A
EMPAGLIFLOZINA;empagliflozina;ANTIDIABETICOS;EMS S/A
SIMETICONA;;;ANOVIS INDUSTRIAL FARMACEUTICA LTDA.
NIQUITIN;NICOTINA;ANTITABAGICO;MAPPEL INDUSTRIA DE EMBALAGENS S.A.
PARZO;CELECOXIBE;ANTINFLAMATORIOS;ACHE LABORATORIOS FARMACEUTICOS S.A
PROVIVE;PROPOFOL;ANESTESICOS GERAIS INJETAVEIS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
VASELINA LIQUIDA 100% - VASELINA LIQUIDA 100% CELESTE;;;INDUSTRIA QUIMICA CELESTE LTDA
CLORIDRATO DE GENCITABINA;CLORIDRATO DE GENCITABINA;ANTINEOPLASICO;ZYDUS NIKKHO FARMACEUTICA LTDA
HIXIZINE;CLORIDRATO DE HIDROXIZINA, DICLORIDRATO DE HIDROXIZINA;ANTIALERGICOS;THERASKIN FARMACEUTICA LTDA.
SULFATO DE MAGNESIO;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
CLORIDRATO DE PROPRANOLOL;CLORIDRATO DE PROPRANOLOL;BETABLOQUEADORES SIMPLES;PRATI DONADUZZI & CIA LTDA
ELREXFIO;ELRANATAMABE;ANTINEOPLASICO;PFIZER BRASIL LTDA
NALDECON DIA;PARACETAMOL, CLORIDRATO DE FENILEFRINA;ANALGESICOS NAO NARCOTICOS;RECKITT BENCKISER (BRASIL) LTDA
TANDRIFLAN;PARACETAMOL, CARISOPRODOL, DICLOFENACO SODICO, CAFEINA;ANTINFLAMATORIOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
DAONIL;GLIBENCLAMIDA;ANTIDIABETICOS;SANOFI MEDLEY FARMACEUTICA LTDA.
DOLUTEGRAVIR SODICO;dolutegravir sodico;ANTIRETROVIRAL;FUNDACAO OSWALDO CRUZ
NIULIVA;IMUNOGLOBULINA HUMANA ANTI-HEPATITE B;IMUNOGLOBULINAS;GRIFOLS BRASIL LTDA
TAGELYNIX;TIGECICLINA;ANTIBIOTICOS SISTEMICOS SIMPLES;ACCORD FARMACEUTICA LTDA
TINTURA DE IODO 2%;;;FARMAX S.A.
BELEODAQ;BELINOSTATE;ANTINEOPLASICO;PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA
BEBEX N;OXIDO DE ZINCO, NISTATINA;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;GEOLAB INDUSTRIA FARMACEUTICA S/A
CLORIDRATO DE VERAPAMIL;CLORIDRATO DE VERAPAMIL;ANTIANGINOSOS E VASODILATADORES;ACHE LABORATORIOS FARMACEUTICOS S.A
LACOSAMIDA;lacosamida;ANTICONVULSIVANTES;CAMBER FARMACEUTICA LTDA
LITOCIT;CITRATO DE POTASSIO MONOIDRATADO;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;APSEN FARMACEUTICA S/A
OXANON;OXACILINA SODICA;PENICILINAS PENICILINASE-RESISTENTES;BLAU FARMACEUTICA S.A.
VIVERDAL;risperidona;NEUROLEPTICOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
CLORIDRATO DE TRAMADOL (PORT 344/98 - LISTA A2);CLORIDRATO DE TRAMADOL;ANALGESICOS NARCOTICOS;LABORATORIO TEUTO BRASILEIRO S/A
ACEBROFILINA;ACEBROFILINA;BRONCODILATADORES;CIMED INDUSTRIA S.A
LANTUS;INSULINA GLARGINA;ANTIDIABETICOS;SANOFI MEDLEY FARMACEUTICA LTDA.
PREDSIGMA;FOSFATO SODICO DE PREDNISOLONA, PREDNISOLONA;GLICOCORTICOIDES SISTEMICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
TESTE;;;VISA ESTADUAL SP TESTE
AIPRI;ARIPIPRAZOL;ANTIPSICOTICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
SIMETICONA;;;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
AZITROMICINA;AZITROMICINA DI-hIDRATADA;ANTIBIOTICOS SISTEMICOS SIMPLES;CIFARMA CIENTIFICA FARMACEUTICA LTDA
CLORIDRATO DE SIBUTRAMINA;CLORIDRATO DE SIBUTRAMINA MONOIDRATADO;ANOREXICOS SIMPLES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA;OLMESARTANA MEDOXOMILA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;GERMED FARMACEUTICA LTDA
TANZURYS;CLORIDRATO DE TANSULOSINA;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;EMS S/A
MUCOLAB;L-CARBOCISTEINA;EXPECTORANTES;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
SAL AMARGO;;;LABORATORIO INDUSTRIAL FARMACEUTICO LIFAR LTDA
ENTECAVIR;ENTECAVIR MONOIDRATADO;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);FUNDACAO EZEQUIEL DIAS - FUNED
CLORIDRATO DE VALGANCICLOVIR;CLORIDRATO DE VALGANCICLOVIR;ANTIVIROTICOS;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
NEO LORATADIN;LORATADINA;ANTI-HISTAMINICOS SISTEMICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
CLIZE;CLORIDRATO DE CLONIDINA;ANALGESICOS;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
DABGAM;MESILATO DE ETEXILATO DE DABIGATRANA;ANTITROMBOTICO;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
HEMITARTARATO DE NOREPINEFRINA MONOIDRATADA;HEMITARTARATO DE NOREPINEFRINA MONOIDRATADA;VASOCONSTRITORES E HIPERTENSORES;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
LUR D12;SULFATO DE PSEUDOEFEDRINA, DESLORATADINA;ANTI-HISTAMINICOS SISTEMICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
OXALATO DE ESCITALOPRAM;OXALATO DE ESCITALOPRAM;ANTIDEPRESSIVOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
POMADA PARA ASSADURA GERIADERM;;;LABORATORIO TAYUYNA LTDA
HEMITARTARATO DE RIVASTIGMINA;HEMITARTARATO DE RIVASTIGMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;INSTITUTO VITAL BRAZIL S/A
PASTA D'AGUA COM CALAMIDA;;;FEDERAL INDUSTRIA QUIMICA E FARMACEUTICA LTDA
DESOGESTREL;DESOGESTREL;ANTICONCEPCIONAIS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
ACIDO URSODESOXICOLICO;ACIDO URSODESOXICOLICO;COLAGOGOS, COLERETICOS E HEPATOPROTETORES;RANBAXY FARMACEUTICA LTDA
ALBENDAZOL;ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;EMS S/A
BIXLYN 10;BILASTINA;ANTI-HISTAMINICOS SISTEMICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
BROMIL;MENTOL, terpina monoidratada, EUCALIPTOL;ANTITUSSIGENOS-ASSOCIACOES MEDICAMENTOSAS;EMS S/A
DICLORIDRATO DE BETAISTINA;DICLORIDRATO DE BETAISTINA;ANTIVERTIGINOSOS;EUROFARMA LABORATORIOS S.A.
ESMOG;esomeprazol magnesico tri-hidratado;ANTIULCEROSOS;EMS S/A
FRESOFLOX;CIPROFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;FRESENIUS KABI BRASIL LTDA
RETTAN;CLORIDRATO DE TANSULOSINA;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;BIOLAB SANUS FARMACEUTICA LTDA
HEMITARTARATO DE ZOLPIDEM;HEMITARTARATO DE ZOLPIDEM;HIPNOTICOS;TORRENT DO BRASIL LTDA
HIDRALYTE;CLORETO DE SODIO, CITRATO DE SODIO DIHIDRATADO, GLICOSE ANIDRA, CITRATO DE POTASSIO MONOIDRATADO;REIDRATANTES ORAIS;NATULAB LABORATORIO S.A
LABORIUM AGUA PURIFICADA;;;INDUSTRIA FARMACEUTICA SANTA RITA DE CASSIA LTDA - EPP
LEVOFLOXACINO;levofloxacino hemi-hidratado;ANTIBIOTICOS SISTEMICOS SIMPLES;ZYDUS NIKKHO FARMACEUTICA LTDA
SUCCINATO DE DESVENLAFAXINA;SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;ANTIDEPRESSIVOS;LABORATORIO TEUTO BRASILEIRO S/A
TELMISARTANA+HIDROCLOROTIAZIDA;TELMISARTANA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;EMS S/A
VITAMINA D3;COLECALCIFEROL;VITAMINA D E ANALOGOS;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
CLORIDRATO DE AMBROXOL;CLORIDRATO DE AMBROXOL;EXPECTORANTES BALSAMICOS E MUCOLITICO;HIPOLABOR FARMACEUTICA LTDA
CLORIDRATO DE ONDANSETRONA;CLORIDRATO DE ONDANSETRONA;ANTIEMETICOS E ANTINAUSEANTES;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
MEMORALL;CLORIDRATO DE MEMANTINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;LABORATORIO TEUTO BRASILEIRO S/A
HEMIFUMARATO DE QUETIAPINA;hemifumarato de quetiapina;ANTIPSICOTICOS;ZYDUS NIKKHO FARMACEUTICA LTDA
NEOSORO SSC;;;LABORATORIO NEO QUIMICA COMERCIO E INDUSTRIA LTDA
ALCOOL IODADO 0,10% FARMAX;;;FARMAX S.A.
AGUA PARA IRRIGACAO;AGUA PARA INJETAVEIS QSP;PRODUTOS PARA PROCEDIMENTOS ESPECIALIZADOS;JP INDUSTRIA FARMACEUTICA S/A
ANTIMICOTICO;;;LABORATORIO INDUSTRIAL FARMACEUTICO LIFAR LTDA
ARTESUNATO + MEFLOQUINA FARMANGUINHOS;CLORIDRATO DE MEFLOQUINA, artesunato;ANTIMALARICOS;FUNDACAO OSWALDO CRUZ
BILASTINA;BILASTINA;ANTI-HISTAMINICOS SISTEMICOS;GERMED FARMACEUTICA LTDA
INDAPAMIDA;INDAPAMIDA;DIURETICOS SIMPLES;GEOLAB INDUSTRIA FARMACEUTICA S/A
MERTHIOCORT;;;KRESS FARMACEUTICA S.A.
BMAST;MECOBALAMINA;MONOVITAMINAS EXCETO VITAMINA K;DROXTER INDUSTRIA, COMERCIO E PARTICIPACOES LTDA
DEXAMETASONA + SULFATO DE NEOMICINA + SULFATO DE POLIMIXINA B;DEXAMETASONA, SULFATO DE NEOMICINA, SULFATO DE POLIMIXINA B;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;GEOLAB INDUSTRIA FARMACEUTICA S/A
KORIVA;lacosamida;ANTICONVULSIVANTES;CAMBER FARMACEUTICA LTDA
FUROSEMIDA;FUROSEMIDA;DIURETICOS SIMPLES;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
MELOXICAM;MELOXICAM;ANTINFLAMATORIOS;EMS S/A
PENTAXIM;Toxoide difterico, Toxoide Tetanico, Toxoide pertussis, Hemaglutinina Filamentosa, Poliovirus Tipo 1 (Mahoney), Poliovirus Tipo 2, Poliovirus Tipo 3, POLISSACARIDEO DE HAEMOPHILUS INFLUENZAE TIPO B;VACINAS;SANOFI MEDLEY FARMACEUTICA LTDA.
SULFAMETOXAZOL + TRIMETOPRIMA;SULFAMETOXAZOL, TRIMETOPRIMA;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;EMS S/A
UNITRAM;OXALATO DE ESCITALOPRAM;ANTIDEPRESSIVOS;FARMOQUIMICA S/A
AQUACLIN GEL;;;GALDERMA BRASIL LTDA
BEBEX PREVINE;;;GEOLAB INDUSTRIA FARMACEUTICA S/A
BESILATO DE ANLODIPINO;BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
KETHOL;trometamol cetorolaco;ANTINFLAMATORIOS;GERMED FARMACEUTICA LTDA
ALCOOL GEL QUALITY;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
TRAYENTA DUO;linagliptina, CLORIDRATO DE METFORMINA;ANTIDIABETICOS;BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.
CLIOQDERM;VALERATO DE BETAMETASONA, SULFATO DE GENTAMICINA, TOLNAFTATO, CLIOQUINOL;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;GEOLAB INDUSTRIA FARMACEUTICA S/A
EVTOR;EVEROLIMO;AGENTE IMUNOSUPRESSOR;ACCORD FARMACEUTICA LTDA
OLMESARTANA MEDOXOMILA;OLMESARTANA MEDOXOMILA;ANTI-HIPERTENSIVOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ACETATO DE CIPROTERONA + ETINILESTRADIOL;ACETATO DE CIPROTERONA, ETINILESTRADIOL;ESTROGENOS ASSOCS A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
BROMOPRIDA;BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES;ACHE LABORATORIOS FARMACEUTICOS S.A
DIAZEPAM;DIAZEPAM;ANSIOLITICOS SIMPLES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
DORTRIRELAX;CITRATO DE ORFENADRINA, DIPIRONA, CAFEINA ANIDRA;RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
GLICEL;;;BRASTERAPICA PHARMACEUTICA LTDA.
NARIX SPRAY;;;CIMED INDUSTRIA S.A
PARACETAMOL+FOSFATO DE CODEINA;FOSFATO DE CODEINA, PARACETAMOL;ANALGESICOS NARCOTICOS;EMS S/A
GINO-MENOPAUSA;GLYCINE MAX (L.) MERR.;FITOTERAPICO SIMPLES;BAYER S.A.
MOBALE;PREGABALINA;ANTICONVULSIVANTES;EUROFARMA LABORATORIOS S.A.
PANTOPRAZOL MAGNESICO;pantoprazol magnesico di-hidratado;ANTIACIDOS E ANTIULCEROSOS;GERMED FARMACEUTICA LTDA
RISPERAC;risperidona;NEUROLEPTICOS;ACCORD FARMACEUTICA LTDA
XTANDI;enzalutamida;ANTINEOPLASICO;ASTELLAS FARMA BRASIL IMPORTACAO E DISTRIBUICAO DE MEDICAMENTOS
PASTA D' AGUA;;;PHARLAB INDUSTRIA FARMACEUTICA S.A.
HYDRAQUA;;;GEOLAB INDUSTRIA FARMACEUTICA S/A
IMUNOTRANSFERAN;POLIPEPTADEO DIALIZAVEL DE EXTRATO DE LEUCOCITO;IMUNOMODULADOR;LABORATORIO DE EXTRATOS ALERGENICOS LTDA
OLMEDIX;OLMESARTANA MEDOXOMILA;ANTI-HIPERTENSIVOS;EMS S/A
PREDNISOLONA;PREDNISOLONA;GLICOCORTICOIDES SISTEMICOS;EMS S/A
CETONEO;CETOCONAZOL;ANTIMICOTICO;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
DAPAGLIFLOZINA;dapagliflozina;ANTIDIABETICOS;GERMED FARMACEUTICA LTDA
PROPIONATO DE CLOBETASOL;PROPIONATO DE CLOBETASOL;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;SANOFI MEDLEY FARMACEUTICA LTDA.
SUGAMADEX SODICO;SUGAMADEX SODICO;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;BLAU FARMACEUTICA S.A.
VITERGAN ZINCO;ACIDO ASCORBICO, ZINCO, OXIDO DE ZINCO, COBRE, OXIDO CUPRICO, SELENIO, ACETATO DE RACEALFATOCOFEROL, BETACAROTENO;POLIVITAMINICOS COM MINERAIS;MARJAN INDUSTRIA E COMERCIO LTDA
LOCAO DE PEROXIDO DE BENZOILA 5% EPYDERMY;;;LABORATORIO TAYUYNA LTDA
DESLORATADINA;DESLORATADINA;ANTI-HISTAMINICOS SISTEMICOS;LABORATORIO GLOBO SA
DONAREN;CLORIDRATO DE TRAZODONA;ANTIDEPRESSIVOS;APSEN FARMACEUTICA S/A
EPITEGEL;DEXPANTENOL;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;BL INDUSTRIA OTICA LTDA
HYPOFARMA MANITOL 20%;MANITOL;DIURETICOS SIMPLES;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA
NEODIA;LEVONORGESTREL;ANTICONCEPCIONAIS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
CALICIDA RIOQUIMICA;;;RIOQUIMICA S.A.
CLORIDRATO DE CIPROFLOXACINO;CLORIDRATO DE CIPROFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;EUROFARMA LABORATORIOS S.A.
SORO ANTIBOTROPICO/LAQUATICO;imunoglobulina heterologa contra veneno de Bothrops sp, Imunoglobulina Heterologa contra o veneno de Lachesis muta;SOROS IMUNOPROTETORES;FUNDACAO EZEQUIEL DIAS - FUNED
AGUA ESTERIL PARA INJETAVEIS BEKER;AGUA PARA INJETAVEIS, AGUA PARA INJECAO;DILUENTES E VEICULOS DE MEDICAMENTOS;BEKER PRODUTOS FARMACO HOSPITALARES LTDA
AREMAZ;HEDERA HELIX L.;;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
CABERGOLINA;CABERGOLINA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;PRATI DONADUZZI & CIA LTDA
FLATICONA;;;BELFAR LTDA
PHARMOLATE;;;J.R.D. INDUSTRIA FARMACEUTICA LTDA.
RALZIN;CLORIDRATO DE SERTRALINA;ANTIDEPRESSIVOS;PRATI DONADUZZI & CIA LTDA
TARTARATO DE BRIMONIDINA;TARTARATO DE BRIMONIDINA;ANTIGLAUCOMATOSOS;ACHE LABORATORIOS FARMACEUTICOS S.A
TECTA;pantoprazol magnesico di-hidratado;ANTIACIDOS E ANTIULCEROSOS SIMPLES;TAKEDA PHARMA LTDA.
AMOXICILINA + CLAVULANATO DE POTASSIO;AMOXICILINA SODICA, CLAVULANATO DE POTASSIO;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;BEKER PRODUTOS FARMACO HOSPITALARES LTDA
BESILATO DE ANLODIPINO;BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
CLARISCAN;ACIDO GADOTARICO;CONTRASTES RADIOLOGICOS;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS M
OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA;OLMESARTANA MEDOXOMILA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
ARARTAN;losartana potassica;ANTI-HIPERTENSIVOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
CLORIDRATO DE TRAMADOL;CLORIDRATO DE TRAMADOL;ANALGESICOS NARCOTICOS;GERMED FARMACEUTICA LTDA
FUSOR;OXALATO DE ESCITALOPRAM;ANTIDEPRESSIVOS;ACHE LABORATORIOS FARMACEUTICOS S.A
VACINA INFLUENZA TRIVALENTE ( FRAGMENTADA E INATIVADA );Cepa influenza tipo A (H1N1), Cepa influenza tipo A (H3N2), CEPA INFLUENZA TIPO B, Cepa influenza tipo B;VACINAS;INSTITUTO BUTANTAN
ITRACONAZOL;ITRACONAZOL;ANTIMICOTICO;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
PREGABALINA;PREGABALINA;ANTICONVULSIVANTES;EUROFARMA LABORATORIOS S.A.
AGUA OXIGENDA 10 VOLUMES;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
CLORIDRATO DE PROPRANOLOL;CLORIDRATO DE PROPRANOLOL;BETABLOQUEADORES SIMPLES;GERMED FARMACEUTICA LTDA
DICLOFENACO SODICO;DICLOFENACO SODICO;ANTINFLAMATORIOS ANTIREUMATICOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
NAXOTEC;NAPROXENO;ANTINFLAMATORIOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
PERLID;risperidona;NEUROLEPTICOS;PRATI DONADUZZI & CIA LTDA
MENOPRIN;ESTROGENIOS CONJUGADOS;ESTROGENOS ASSOCS A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;CIFARMA CIENTIFICA FARMACEUTICA LTDA
OPTINAVIS;ranibizumabe;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;BIONOVIS S.A. - COMPANHIA BRASILEIRA DE BIOTECNOLOGIA FARMACEUT
INALIDE;BUDESONIDA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;EMS S/A
VACINA RECOMBINANTE CONTRA HEPATITE B;PROTEINA ANTIGENICA DE SUPERFICIE (HEP. B);VACINAS;INSTITUTO BUTANTAN
VISAN MT;BIMATOPROSTA, MALEATO DE TIMOLOL;ANTIGLAUCOMATOSOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
HERPSTAL;CLORIDRATO DE VALACICLOVIR;ANTIVIROTICOS;GERMED FARMACEUTICA LTDA
VITANOL-A;TRETINOINA;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;GLAXOSMITHKLINE BRASIL LTDA
CLORIDRATO DE NEBIVOLOL;cloridrato de nebivolol;ANTI-HIPERTENSIVOS;TORRENT DO BRASIL LTDA
GELFOAM;ESPONJA ESTERIL DE GELATINA ABSORVIVEL, GELATINA ABSORVIVEL;MEDICACAO HEMOSTATICA;PHARMACIA BRASIL LTDA
MENORALIS;TRIFOLIUM PRATENSE L.;;MYRALIS INDUSTRIA FARMACEUTICA LTDA
RIOGEL ANTISSePTICO;;;RIOQUIMICA S.A.
SUNAM;SUGAMADEX SODICO;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;SUN FARMACEUTICA DO BRASIL LTDA
ALGINAC;CIANOCOBALAMINA, CLORIDRATO DE TIAMINA, CLORIDRATO DE PIRIDOXINA, NITRATO DE TIAMINA, DICLOFENACO SODICO, DICLOFENACO DE SODIO;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS MEDICAMENTOSAS;PROCTER & GAMBLE DO BRASIL LTDA.
LEUX;HIDROXIUREIA;OUTROS ANTINEOPLASICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
TOLZA;PANTOPRAZOL;ANTIULCEROSOS;LABORATORIO TEUTO BRASILEIRO S/A
CICLADOL;piroxicam betaciclodextrina;ANALGESICOS NAO NARCOTICOS;CHIESI FARMACEUTICA LTDA
CLAVULIN;AMOXICILINA, AMOXICILINA SODICA, AMOXICILINA TRI-hIDRATADA, AMOXICILINA TRIHIDRATADA, CLAVULANATO DE POTASSIO, ACIDO CLAVULANICO;ANTIBIOTICOS SISTEM -ASSOC MEDIC ENTRE ANTINFEC;GLAXOSMITHKLINE BRASIL LTDA
HYPERATIV;HYPERICUM PERFORATUM L.;ANTIDEPRESSIVOS;BIONATUS LABORATORIO BOTANICO LTDA
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;EMS S/A
CLORIDRATO DE DOXORRUBICINA;CLORIDRATO DE DOXORRUBICINA;ANTINEOPLASICO;ACCORD FARMACEUTICA LTDA
CLORIDRATO DE OXIBUTININA;CLORIDRATO DE OXIBUTININA;ANTIESPASMODICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
ESPINHEIRA SANTA;;;LABORATORIO YANTEN LTDA ME
MAXDIPA SORO FISIOLOGICO;;;LABORATORIO TAYUYNA LTDA
TOTACEF;AXETILCEFUROXIMA;CEFALOSPORINAS;EUROFARMA LABORATORIOS S.A.
VASELINA LIQUIDA;;;LABORATORIO INDUSTRIAL FARMACEUTICO LIFAR LTDA
